Channel_Original,Count_Cells,Crop_AreaRetainedAfterCropping_Cropped,Crop_OriginalImageArea_Cropped,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05Crop,ExecutionTime_06ColorToGray,ExecutionTime_07ImageMath,ExecutionTime_08IdentifyPrimaryObjects,ExecutionTime_09OverlayOutlines,ExecutionTime_10MeasureObjectNeighbors,ExecutionTime_11MeasureObjectSizeShape,ExecutionTime_12MeasureObjectIntensity,FileName_Original,Frame_Original,Group_Index,Group_Number,Height_Original,ImageNumber,ImageSet_ImageSet,MD5Digest_Original,Mean_Cells_AreaShape_Area,Mean_Cells_AreaShape_BoundingBoxArea,Mean_Cells_AreaShape_BoundingBoxMaximum_X,Mean_Cells_AreaShape_BoundingBoxMaximum_Y,Mean_Cells_AreaShape_BoundingBoxMinimum_X,Mean_Cells_AreaShape_BoundingBoxMinimum_Y,Mean_Cells_AreaShape_Center_X,Mean_Cells_AreaShape_Center_Y,Mean_Cells_AreaShape_Compactness,Mean_Cells_AreaShape_Eccentricity,Mean_Cells_AreaShape_EquivalentDiameter,Mean_Cells_AreaShape_EulerNumber,Mean_Cells_AreaShape_Extent,Mean_Cells_AreaShape_FormFactor,Mean_Cells_AreaShape_MajorAxisLength,Mean_Cells_AreaShape_MaxFeretDiameter,Mean_Cells_AreaShape_MaximumRadius,Mean_Cells_AreaShape_MeanRadius,Mean_Cells_AreaShape_MedianRadius,Mean_Cells_AreaShape_MinFeretDiameter,Mean_Cells_AreaShape_MinorAxisLength,Mean_Cells_AreaShape_Orientation,Mean_Cells_AreaShape_Perimeter,Mean_Cells_AreaShape_Solidity,Mean_Cells_Intensity_IntegratedIntensityEdge_OrigRed,Mean_Cells_Intensity_IntegratedIntensity_OrigRed,Mean_Cells_Intensity_LowerQuartileIntensity_OrigRed,Mean_Cells_Intensity_MADIntensity_OrigRed,Mean_Cells_Intensity_MassDisplacement_OrigRed,Mean_Cells_Intensity_MaxIntensityEdge_OrigRed,Mean_Cells_Intensity_MaxIntensity_OrigRed,Mean_Cells_Intensity_MeanIntensityEdge_OrigRed,Mean_Cells_Intensity_MeanIntensity_OrigRed,Mean_Cells_Intensity_MedianIntensity_OrigRed,Mean_Cells_Intensity_MinIntensityEdge_OrigRed,Mean_Cells_Intensity_MinIntensity_OrigRed,Mean_Cells_Intensity_StdIntensityEdge_OrigRed,Mean_Cells_Intensity_StdIntensity_OrigRed,Mean_Cells_Intensity_UpperQuartileIntensity_OrigRed,Mean_Cells_Location_CenterMassIntensity_X_OrigRed,Mean_Cells_Location_CenterMassIntensity_Y_OrigRed,Mean_Cells_Location_CenterMassIntensity_Z_OrigRed,Mean_Cells_Location_Center_X,Mean_Cells_Location_Center_Y,Mean_Cells_Location_Center_Z,Mean_Cells_Location_MaxIntensity_X_OrigRed,Mean_Cells_Location_MaxIntensity_Y_OrigRed,Mean_Cells_Location_MaxIntensity_Z_OrigRed,Mean_Cells_Neighbors_AngleBetweenNeighbors_Expanded,Mean_Cells_Neighbors_FirstClosestDistance_Expanded,Mean_Cells_Neighbors_FirstClosestObjectNumber_Expanded,Mean_Cells_Neighbors_NumberOfNeighbors_Expanded,Mean_Cells_Neighbors_PercentTouching_Expanded,Mean_Cells_Neighbors_SecondClosestDistance_Expanded,Mean_Cells_Neighbors_SecondClosestObjectNumber_Expanded,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05Crop,ModuleError_06ColorToGray,ModuleError_07ImageMath,ModuleError_08IdentifyPrimaryObjects,ModuleError_09OverlayOutlines,ModuleError_10MeasureObjectNeighbors,ModuleError_11MeasureObjectSizeShape,ModuleError_12MeasureObjectIntensity,PathName_Original,Scaling_Original,Series_Original,Threshold_FinalThreshold_Cells,Threshold_OrigThreshold_Cells,Threshold_SumOfEntropies_Cells,Threshold_WeightedVariance_Cells,URL_Original,Width_Original
-2,261.0,53805,65536,0.0,0.0,0.06999999999993634,0.0,0.009999999999990905,0.0,0.009999999999990905,0.10000000000002274,0.0,0.13999999999998636,0.4900000000000091,0.12000000000000455,decoded_0.png,0,1,1,256,1,b'eLuC278kG00FFBe5BnoFeengEhNmK9BvINMwS2EQA2ytnQ2iMAtKTaNSeQpyA9hmEA0OOyADHPY4i1GalOsKoDArLkhMTiXXNGAAIVcKULNt9JEFbSBVha6RjT600tBH9Q1QAIevQcnTDgDSQfxR',476e06858b76ad1d9e293e3501136cbf,169.65134099616859,280.7509578544061,146.82375478927204,118.72030651340997,130.97701149425288,102.73180076628353,138.34604526690072,110.23116154856382,1.6955270700900669,0.7305960640999193,13.834024484651557,0.9961685823754789,0.6314304692471245,0.6296702501344914,18.798444246866136,18.999838001947154,4.811786619497251,2.0837666799278125,1.8461951468953477,11.815248869794555,11.83265425812545,0.025878571396307042,57.90475330567393,0.8137386103707276,3.346164921746443,9.304665584664907,0.03960634180936977,0.01688828861422951,0.6097024163425488,0.1147922803558609,0.1188941512585143,0.06504236969517987,0.05627930531267151,0.0563894539529108,0.016978439443184497,0.003906543634232433,0.021687254881109088,0.023931829481291165,0.07346180094926978,138.3060559799545,110.21340206826507,0.0,138.34604526690072,110.23116154856382,0.0,138.77394636015325,110.14176245210729,0.0,108.00062808358925,9.739674039345575,130.77011494252875,5.532567049808429,96.8541807011378,12.234924782945987,130.75095785440612,file:///data/image/decoded_0.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/image,255,0,0.6503737807273864,0.9291054,0.0,0.002099799457937479,file:///data/image/decoded_0.png,256
-2,298.0,53805,65536,0.0,0.0,0.11000000000001364,0.0,0.009999999999990905,0.0,0.0,0.08999999999991815,0.009999999999990905,0.14999999999997726,0.5899999999999181,0.11000000000001364,decoded_1.png,0,2,1,256,2,b'eLuC278kG00FFBe5hnoFeengEhNmK9BvINMwS2EQA2ytnQ2iMAtKTaNSeQpyA9hmEA0OOyADHPY4i1GalOsKoDArLkhMTiXXNGAAIVcKULNt9JEFbSBVha6RjT600tBH9Q1QAIevQcnTDgDT+fxS',c8793aa9f550c8870e985044695dad75,153.89261744966444,259.2046979865772,143.55369127516778,126.52348993288591,128.56711409395973,110.81543624161074,135.54163544178763,118.13837568682818,1.7023671559672233,0.7447927529933625,13.206194678247174,0.9899328859060402,0.6217768433083004,0.6373912459792235,18.369425856333663,18.311130226340115,4.567164056081109,1.995032754531019,1.761596966722986,11.284018463637969,11.210499122718701,0.03507696898822236,55.405926447358425,0.8092536353517713,2.6629557275782094,7.11567332049763,0.027233847465769283,0.01571917403239332,0.8095720473156447,0.09923674469976217,0.10393473147195857,0.051272228854022994,0.04375156475401424,0.04292670215305016,0.01239636833717009,0.0027108831024859974,0.02035753426696582,0.02182464324638538,0.058978156653864175,135.62388470095664,118.19974981945137,0.0,135.54163544178763,118.13837568682818,0.0,135.6979865771812,118.89261744966443,0.0,118.21488255953948,9.140046353994224,149.14093959731542,5.5369127516778525,97.18128335997378,11.705380024446569,148.5503355704698,file:///data/image/decoded_1.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/image,255,0,0.641784632205963,0.9168352,0.0,0.002766083460301161,file:///data/image/decoded_1.png,256
-2,370.0,53805,65536,0.0,0.0,0.12999999999999545,0.0,0.009999999999990905,0.0,0.0,0.10000000000002274,0.01999999999998181,0.16999999999995907,0.6000000000000227,0.09000000000003183,decoded_2.png,0,3,1,256,3,b'eLuC278kG00FFBe5RnoFeengEhNmK9BvINMwS2EQA2ytnQ2iMAtKTaNSeQpyA9hmEA0OOyADHPY4i1GalOsKoDArLkhMTiXXNGAAIVcKULNt9JEFbSBVha6RjT600tBH9Q1QAIevQcnTDgDVsfxT',66d2c08fea9b5bbcee6efdd5160f5e05,127.44324324324324,230.1891891891892,143.86486486486487,128.4162162162162,129.46756756756756,114.07027027027027,136.14811033260335,120.67611701069845,1.686062871283525,0.7614018721002422,12.032894596431706,0.9945945945945946,0.5962742922018124,0.6434595554379372,16.99327134129122,16.79604270535801,4.149369330267934,1.8518731219878344,1.6174220998940148,10.14054785088794,10.120518624764582,0.054768741184007104,50.32009552495573,0.8044909208026779,1.0454266369078509,2.458283069352242,0.006322204851155245,0.011006889489756243,0.6083654771455391,0.056915740668773654,0.06030736775515047,0.022725211966469868,0.018509873365056245,0.017027027679707957,0.0010068892727832536,0.00011658718104700784,0.013751762118978085,0.014286072654252831,0.028237944509129267,136.190704668474,120.62731773695245,0.0,136.14811033260335,120.67611701069845,0.0,136.34324324324325,120.24594594594595,0.0,107.89710930606402,8.580493188390353,185.72432432432433,5.6,97.5671162066042,10.563877813538877,185.64864864864865,file:///data/image/decoded_2.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/image,255,0,0.6618795931339263,0.9455423,0.0,0.0009709330624900758,file:///data/image/decoded_2.png,256
-2,296.0,53805,65536,0.0,0.0,0.10000000000002274,0.0,0.009999999999990905,0.0,0.0,0.10000000000002274,0.0,0.12999999999999545,0.4900000000000091,0.09999999999990905,decoded_3.png,0,4,1,256,4,b'eLuC278kG00FFBe5xnoFeengEhNmK9BvINMwS2EQA2ytnQ2iMAtKTaNSeQpyA9hmEA0OOyADHPY4i1GalOsKoDArLkhMTiXXNGAAIVcKULNt9JEFbSBVha6RjT600tBH9Q1QAIevQcnTDgDXafxU',6a2039e671385dcd3b1cdf2287a06346,154.05067567567568,262.3344594594595,146.60135135135135,123.92229729729729,131.34797297297297,108.72297297297297,138.43177312502,115.78002489952097,1.6735070549591526,0.74642812737406,13.08251797623002,0.9932432432432432,0.6229954564617168,0.6503315363339336,18.153019646913705,18.203627549839428,4.560880915842121,1.9940373478369493,1.7312107343119785,11.02360967655979,11.034484993056177,-0.05114192989574668,54.78580590859684,0.8115920482969438,2.328948132391717,6.193256672633799,0.02393018099679171,0.015056969110249868,0.6653518050876623,0.0904610523500958,0.09471383465554666,0.046272390269226686,0.03911355939499195,0.03858638167809192,0.008240593825404003,0.002437731916575718,0.019041623692361752,0.02057512013476458,0.05356054744569937,138.44346583320888,115.83992842517324,0.0,138.43177312502,115.78002489952097,0.0,138.7668918918919,116.30743243243244,0.0,112.48070389259587,9.151465661093386,148.55743243243242,5.523648648648648,97.11793841725574,11.574387030120091,148.4222972972973,file:///data/image/decoded_3.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/image,255,0,0.6473069965839385,0.9247243,0.0,0.0024321929085999727,file:///data/image/decoded_3.png,256
-2,304.0,53805,65536,0.0,0.0,0.12999999999999545,0.0,0.009999999999990905,0.0,0.0,0.09000000000003183,0.0,0.12999999999999545,0.5099999999999909,0.10000000000013642,decoded_4.png,0,5,1,256,5,b'eLuC278kG00FFBe5JnoFeengEhNmK9BvINMwS2EQA2ytnQ2iMAtKTaNSeQpyA9hmEA0OOyADHPY4i1GalOsKoDArLkhMTiXXNGAAIVcKULNt9JEFbSBVha6RjT600tBH9Q1QAIevQcnTDgDZIfxV',5898272c44f43bacf4c418d847462a26,151.02631578947367,256.48026315789474,150.86513157894737,125.91776315789474,135.32565789473685,111.0592105263158,142.60351449872493,118.04361588028755,1.689812367799563,0.7524302816009337,13.053198002654002,0.9901315789473685,0.6196014271118745,0.6354659510481548,18.03435383274741,18.05538788684201,4.553993985783525,1.9879824780178383,1.7441083363029473,11.059134239245598,11.027066293082218,0.06984240339675447,54.63756903650082,0.8095519616731299,2.364589853569142,6.256772633690975,0.02724780785999763,0.013951238589422581,0.5738129808530162,0.09010578141743808,0.09369195272263728,0.04804924131395804,0.041076178817015724,0.04113777203938777,0.008875129324702644,0.0018059856252205606,0.018074708918916604,0.019816949849360086,0.054801988168803384,142.58744637126046,118.0024058376079,0.0,142.60351449872493,118.04361588028755,0.0,142.92105263157896,117.66118421052632,0.0,112.20296927084662,9.146198556034262,152.05263157894737,5.578947368421052,97.06148327219842,11.27135134193779,152.1578947368421,file:///data/image/decoded_4.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/image,255,0,0.6589522063732147,0.9413603,0.0,0.0013484340161085129,file:///data/image/decoded_4.png,256
-2,354.0,53805,65536,0.0,0.0,0.11000000000001364,0.0,0.009999999999990905,0.0,0.0,0.10000000000002274,0.0,0.16999999999995907,0.5800000000000409,0.10000000000002274,decoded_5.png,0,6,1,256,6,b'eLuC278kG00FFBe5pnoFeengEhNmK9BvINMwS2EQA2ytnQ2iMAtKTaNSeQpyA9hmEA0OOyADHPY4i1GalOsKoDArLkhMTiXXNGAAIVcKULNt9JEFbSBVha6RjT600tBH9Q1QAIevQcnTDgDa2fxW',d018a79ff55d91c9cb7e0cd6b0cf0b45,134.38418079096044,241.20056497175142,150.19774011299435,133.71468926553672,135.72316384180792,119.0225988700565,142.4512399363191,125.84023786383814,1.6997414103733104,0.762794252886837,12.23286958226439,0.9971751412429378,0.5967604162025959,0.6427571901805588,17.462557713819777,17.213921802860987,4.174920369417683,1.869368183905841,1.6441549893985863,10.212656442528619,10.163922965064843,0.09422604478104207,51.65318415658731,0.8048905992036738,1.3779993786010891,3.4511688248212264,0.009416196220370252,0.01178132311446266,0.8878324771555628,0.06560319188540265,0.0694139817897967,0.02757583401251885,0.022765556217761822,0.021164285651102958,0.0022488092045999516,0.0008308408521431483,0.015617769406204919,0.016068803973308746,0.033493963570733906,142.34671440421405,125.74102755873884,0.0,142.4512399363191,125.84023786383814,0.0,142.24293785310735,125.65819209039547,0.0,112.3989566043417,8.529140956331785,177.42937853107344,5.598870056497175,97.58039752035997,10.468528668261513,177.62994350282486,file:///data/image/decoded_5.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/image,255,0,0.6530330955982208,0.9329044,0.0,0.0017640526639297605,file:///data/image/decoded_5.png,256
